table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
FH,FHCashBalanceByBankAccountDatas,FHGLAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHCashLineSetupDatas,FHGLAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHCashReportGeneratedBankDatas,FHBankAccountSetupDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHCashReportGeneratedBankDatas,FHCashReportGeneratedLogKey,FH,FHCashReportGeneratedLogs,FHCashReportGeneratedLogKey
FH,FHCashReportGeneratedBankOutstandingDatas,FHBankAccountSetupDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHCashReportGeneratedBankOutstandingDatas,FHCashReportGeneratedLogKey,FH,FHCashReportGeneratedLogs,FHCashReportGeneratedLogKey
FH,FHCashReportGeneratedGLAccountDatas,FHCashReportGeneratedLogKey,FH,FHCashReportGeneratedLogs,FHCashReportGeneratedLogKey
FH,FHCashReportGeneratedGLAccountDatas,FHGLAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHCashReportGeneratedLogs,FHBankAccountSetupDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHCreditCardDepositGLDistributionDatas,FHCashGLAccountDataFHGLAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHCreditCardDepositGLDistributionDatas,FHExpenseGLAccountDataFHGLAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHDepartmentAccountBreakDatas,FHAccountBreakConfigurationKey,FH,FHAccountBreakConfigurations,FHAccountBreakConfigurationKey
FH,FHDistributionIdSetupDatas,FHBankAccountSetupDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHExportCsvLogDatas,FHExportCsvDataKey,FH,FHExportCsvDatas,FHExportCsvDataKey
FH,FHFrontDeskPayrixFundingDatas,FHBankTransactionDataKey,FH,FHBankTransactionDatas,FHBankTransactionDataKey
FH,FHFrontDeskPayrixFundingTransactionDatas,FHBankTransactionDataKey,FH,FHBankTransactionDatas,FHBankTransactionDataKey
FH,FHFrontDeskPayrixFundingTransactionDatas,FHFrontDeskPayrixFundingDataKey,FH,FHFrontDeskPayrixFundingDatas,FHFrontDeskPayrixFundingDataKey
FH,FHFundAccountBreakDatas,FHAccountBreakConfigurationKey,FH,FHAccountBreakConfigurations,FHAccountBreakConfigurationKey
FH,FHGLAccountDatas,FHAccountLineBreakDataKey,FH,FHAccountLineBreakDatas,FHAccountLineBreakDataKey
FH,FHGLAccountDatas,FHActivityAccountBreakDataKey,FH,FHActivityAccountBreakDatas,FHActivityAccountBreakDataKey
FH,FHGLAccountDatas,FHBankAccountSetupDataKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHGLAccountDatas,FHDepartmentAccountBreakDataKey,FH,FHDepartmentAccountBreakDatas,FHDepartmentAccountBreakDataKey
FH,FHGLAccountDatas,FHDistributionIdSetupDataKey,FH,FHDistributionIdSetupDatas,FHDistributionIdSetupDataKey
FH,FHGLAccountDatas,FHFundAccountBreakDataKey,FH,FHFundAccountBreakDatas,FHFundAccountBreakDataKey
FH,FHGLAccountDatas,FHProjectDataKey,FH,FHProjectDatas,FHProjectDataKey
FH,FHGLBankCashLineDatas,FHGLAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHGLBankCashLineDatas,FHGLBankTransferDataKey,FH,FHGLBankTransferDatas,FHGLBankTransferDataKey
FH,FHGLBankTransferDatas,BankFromKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
